user,first_open,dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,enrolled_date,liked
235136,2012-12-27 02:14:51,3,02:00:00,23,15,0,0,0,,0
333588,2012-12-02 01:16:00,6,01:00:00,24,13,0,0,0,,0
254414,2013-03-19 19:19:09,1,19:00:00,23,3,0,1,0,,1
234192,2013-07-05 16:08:46,4,16:00:00,28,40,0,0,1,2013-07-05 16:11:49,0
51549,2013-02-26 18:50:48,1,18:00:00,31,32,0,0,1,2013-02-26 18:56:37,1
56480,2013-04-03 09:58:15,2,09:00:00,20,14,0,0,1,2013-04-03 09:59:03,0
144649,2012-12-25 02:33:18,1,02:00:00,35,3,0,0,0,,0
249366,2012-12-11 03:07:49,1,03:00:00,26,41,0,1,0,,0
372004,2013-03-20 14:22:01,2,14:00:00,29,33,1,1,1,2013-04-27 22:24:54,0
338013,2013-04-26 18:22:16,4,18:00:00,26,19,0,0,1,2013-04-26 18:31:58,0
43555,2013-05-14 04:48:27,1,04:00:00,39,14,0,0,1,2013-05-15 21:02:17,0
317454,2013-05-28 11:07:07,1,11:00:00,32,25,1,1,0,,0
205375,2012-12-17 06:28:45,0,06:00:00,25,11,0,0,0,,0
307608,2013-05-25 19:52:31,5,19:00:00,23,4,0,0,1,2013-06-18 14:27:42,0
359855,2013-02-18 04:48:48,0,04:00:00,17,9,0,0,0,,0
284938,2013-02-02 18:41:35,5,18:00:00,25,26,1,0,1,2013-04-29 21:10:04,0
235143,2013-07-07 16:07:35,6,16:00:00,21,6,0,0,1,2013-07-08 16:24:09,0
141402,2013-02-02 21:12:46,5,21:00:00,55,20,0,0,1,2013-02-11 01:35:03,0
257945,2013-05-10 05:59:43,4,05:00:00,32,15,0,0,1,2013-05-11 04:29:36,1
54931,2013-07-06 17:34:46,5,17:00:00,25,5,0,0,1,2013-07-06 18:55:54,0
165432,2013-05-24 09:19:49,4,09:00:00,28,8,0,1,1,2013-05-26 00:53:03,0
236951,2013-04-20 04:02:18,5,04:00:00,38,42,0,1,0,,0
110461,2013-06-08 17:11:46,5,17:00:00,31,9,1,0,1,2013-06-08 17:13:13,0
200187,2013-05-12 02:17:36,6,02:00:00,27,42,0,0,1,2013-05-12 02:20:47,1
180427,2013-05-19 20:23:46,6,20:00:00,48,1,1,0,1,2013-05-21 12:52:53,0
359383,2013-06-23 18:34:40,6,18:00:00,37,38,0,0,1,2013-06-23 18:38:29,0
9810,2013-06-03 16:36:36,0,16:00:00,22,49,1,0,1,2013-06-03 16:43:42,0
85089,2013-01-23 01:43:05,2,01:00:00,35,35,0,0,1,2013-02-24 01:21:26,0
143818,2013-05-14 11:48:41,1,11:00:00,32,19,0,1,1,2013-05-14 11:49:25,0
210060,2013-04-27 17:41:24,5,17:00:00,20,10,0,0,0,,0
317171,2013-06-29 00:05:15,5,00:00:00,23,52,0,0,1,2013-06-29 00:06:03,0
198725,2013-03-27 02:11:54,2,02:00:00,25,50,0,0,1,2013-03-27 02:14:14,1
95362,2013-02-10 20:06:29,6,20:00:00,23,76,0,0,1,2013-02-10 20:48:47,0
84738,2013-03-25 04:11:05,0,04:00:00,31,37,0,0,1,2013-03-25 04:13:06,0
74128,2013-01-21 18:53:15,0,18:00:00,26,16,1,0,1,2013-01-21 18:55:08,0
15995,2013-06-20 21:53:31,3,21:00:00,21,32,0,0,1,2013-06-20 21:59:22,0
310250,2013-05-04 22:50:49,5,22:00:00,36,47,0,0,0,,0
133014,2013-03-14 16:50:40,3,16:00:00,24,16,0,0,1,2013-03-14 16:52:08,0
280456,2013-05-05 22:10:13,6,22:00:00,25,40,0,0,1,2013-05-05 22:11:41,0
133810,2013-05-27 10:57:54,0,10:00:00,23,33,0,0,1,2013-05-27 11:07:55,0
171351,2013-02-19 06:42:33,1,06:00:00,25,90,0,0,1,2013-02-19 06:52:13,0
342983,2013-07-02 08:21:46,1,08:00:00,23,13,0,1,0,,0
62638,2012-12-25 08:15:00,1,08:00:00,25,24,0,0,0,,0
341292,2013-05-27 00:05:25,0,00:00:00,25,45,0,1,1,2013-05-27 00:06:24,1
349927,2013-04-17 15:51:28,2,15:00:00,21,20,0,0,1,2013-04-17 18:04:53,1
67588,2013-06-18 02:23:09,1,02:00:00,30,31,0,0,0,,0
187179,2013-05-10 14:38:25,4,14:00:00,58,45,0,0,0,,0
315393,2013-04-06 00:31:53,5,00:00:00,26,24,0,0,1,2013-04-06 00:34:44,0
23425,2013-03-08 13:19:26,4,13:00:00,40,16,0,0,1,2013-03-08 13:34:48,0
298577,2013-01-11 20:26:09,4,20:00:00,24,39,0,1,0,,0
357863,2013-05-25 08:52:07,5,08:00:00,26,17,0,0,1,2013-05-28 04:49:43,0
21700,2013-05-01 04:09:49,2,04:00:00,33,28,0,1,1,2013-05-01 04:12:02,1
17739,2012-12-11 19:32:17,1,19:00:00,21,27,0,0,1,2012-12-11 19:33:58,0
246710,2013-02-18 02:33:09,0,02:00:00,21,10,0,0,0,,0
69760,2013-02-15 03:54:10,4,03:00:00,57,11,0,0,1,2013-02-15 03:58:35,0
335625,2013-02-19 04:57:23,1,04:00:00,22,19,0,0,0,,0
91566,2013-03-25 15:13:51,0,15:00:00,23,39,0,0,0,,0
34071,2013-02-21 19:16:05,3,19:00:00,20,57,0,0,1,2013-02-21 19:23:01,0
44814,2013-02-05 02:08:23,1,02:00:00,31,27,0,0,1,2013-04-08 18:16:42,0
117488,2013-04-22 20:39:54,0,20:00:00,24,23,0,0,0,,1
138117,2013-01-05 22:46:29,5,22:00:00,27,4,0,0,1,2013-01-07 16:27:46,0
150614,2013-05-27 22:38:45,0,22:00:00,33,21,0,0,1,2013-05-27 22:41:27,0
366999,2013-04-12 17:46:47,4,17:00:00,48,12,1,0,0,,0
248925,2013-06-09 17:07:51,6,17:00:00,32,38,0,0,1,2013-06-09 17:11:22,0
20747,2012-12-09 23:24:51,6,23:00:00,31,17,0,0,0,,0
354498,2013-04-28 19:04:21,6,19:00:00,24,16,1,1,0,,0
305707,2013-01-30 13:27:47,2,13:00:00,19,7,0,0,0,,0
43620,2013-03-08 05:23:48,4,05:00:00,37,41,0,0,1,2013-03-08 05:29:36,0
199975,2013-03-17 10:29:29,6,10:00:00,37,13,0,0,1,2013-03-18 00:39:52,0
185092,2013-02-01 06:22:01,4,06:00:00,45,39,0,0,1,2013-02-01 06:28:08,1
177834,2013-06-02 23:38:32,6,23:00:00,34,7,0,0,0,,0
235616,2013-04-19 12:46:13,4,12:00:00,38,14,0,0,0,,1
350654,2013-02-05 21:01:23,1,21:00:00,46,18,0,0,1,2013-02-05 21:10:54,1
149499,2013-01-21 01:40:09,0,01:00:00,22,8,0,0,1,2013-02-01 18:27:33,0
277249,2013-01-30 19:15:42,2,19:00:00,19,27,0,0,1,2013-01-30 19:19:18,0
58451,2013-02-15 07:14:12,4,07:00:00,28,52,0,0,1,2013-02-15 07:48:29,1
163715,2013-06-23 14:29:04,6,14:00:00,35,48,1,0,1,2013-06-23 14:36:11,0
274093,2013-06-09 16:24:13,6,16:00:00,28,32,0,0,0,,0
139567,2013-05-16 03:46:36,3,03:00:00,22,11,0,0,0,,0
137484,2013-06-02 02:39:16,6,02:00:00,21,16,0,0,1,2013-06-02 02:41:26,0
39677,2013-05-27 19:27:53,0,19:00:00,25,28,0,0,1,2013-05-27 19:28:52,0
277960,2013-02-12 03:58:33,1,03:00:00,23,29,0,0,1,2013-02-12 03:59:16,0
351023,2013-03-09 20:47:28,5,20:00:00,32,24,0,0,1,2013-03-09 20:49:58,0
123984,2013-06-07 02:31:02,4,02:00:00,34,21,0,0,1,2013-06-07 02:37:09,0
184032,2013-06-16 06:37:24,6,06:00:00,24,136,1,0,1,2013-06-16 06:38:10,0
329480,2013-04-24 19:02:47,2,19:00:00,25,10,0,0,1,2013-05-03 06:11:40,0
60702,2013-03-04 05:46:38,0,05:00:00,31,41,0,0,1,2013-03-06 23:14:47,0
125898,2013-06-12 16:13:24,2,16:00:00,27,28,0,1,1,2013-06-12 16:18:35,0
306457,2013-06-16 23:10:45,6,23:00:00,17,5,0,0,0,,1
143018,2013-03-12 16:34:38,1,16:00:00,35,13,0,0,1,2013-03-12 16:37:44,0
40978,2012-12-22 15:01:59,5,15:00:00,26,11,0,0,1,2013-02-05 14:09:26,1
232734,2012-12-09 08:23:39,6,08:00:00,27,8,0,1,0,,1
172249,2013-01-03 18:41:59,3,18:00:00,20,18,0,0,1,2013-01-30 16:07:33,0
22652,2013-02-23 04:14:58,5,04:00:00,30,47,0,0,1,2013-02-23 04:18:59,0
127958,2013-05-14 04:20:25,1,04:00:00,23,47,0,0,1,2013-05-14 04:30:54,0
86325,2013-05-28 21:52:11,1,21:00:00,56,13,1,0,0,,0
325393,2013-07-03 21:33:45,2,21:00:00,19,11,0,1,1,2013-07-03 21:35:35,0
272545,2013-04-03 18:54:53,2,18:00:00,42,21,0,1,0,,0
93890,2013-05-05 19:35:19,6,19:00:00,24,7,0,0,0,,0
69353,2013-02-17 05:12:14,6,05:00:00,30,7,0,0,1,2013-04-25 22:51:26,0
208409,2013-07-03 19:34:39,2,19:00:00,17,20,0,0,1,2013-07-03 19:37:36,0
25627,2013-02-26 14:45:03,1,14:00:00,30,18,0,0,1,2013-02-26 14:48:17,1
290211,2013-03-20 21:00:00,2,21:00:00,34,16,0,1,1,2013-06-25 22:56:05,0
13148,2013-06-14 22:03:41,4,22:00:00,37,4,0,0,0,,0
140258,2013-01-01 10:37:30,1,10:00:00,27,34,0,0,0,,0
